Date,Open,High,Low,Close,Volume
2019-05-09,117.69,117.96,116.37,117.92,276539
2019-05-08,121.11,121.21,120.28,120.33,142574
2019-05-07,121.56,121.91,120.47,121.07,160411
2019-05-06,120.2,121.58,119.91,121.54,139019
2019-05-03,121.17,122.31,121.17,122.2,113705
2019-05-02,121.48,121.71,120.91,121.15,85019
2019-05-01,122.5,122.5,121.35,121.48,95570
2019-04-30,122.76,122.76,122.01,122.15,157320
2019-04-29,122.33,122.55,122.17,122.36,98913
2019-04-26,122.34,122.38,122.01,122.17,127940
2019-04-25,122.06,122.06,121.38,121.75,88940
2019-04-24,121.31,121.78,121.21,121.44,171909
2019-04-23,123.42,123.52,123.03,123.48,118628
2019-04-22,123.35,123.35,122.53,122.71,162429
2019-04-18,123.53,123.96,123.48,123.69,192081
2019-04-17,122.39,123.18,122.35,122.63,183950
2019-04-16,120.53,120.79,120.09,120.32,115481
2019-04-15,120.73,121.01,120.19,120.54,140191
2019-04-12,120.41,121.36,120.41,120.97,118498
2019-04-11,120.26,120.4,119.58,119.62,97972
2019-04-10,121.01,121.02,120.61,120.75,66202
2019-04-09,120.96,121.36,120.52,120.63,105316
2019-04-08,120.3,121.06,120.3,120.81,85570
2019-04-05,120.57,121.29,120.45,121.1,133620
2019-04-04,120.27,120.96,120.22,120.65,157436
2019-04-03,119.53,120.17,119.41,119.65,119279
2019-04-02,119.09,119.33,118.7,119.24,89400
2019-04-01,118.06,118.79,118.06,118.48,142156
2019-03-29,116.87,116.92,116.46,116.64,253698
2019-03-28,117.96,118.11,117.36,117.68,157309
2019-03-27,117.78,118.01,117.21,117.7,147406
2019-03-26,118.64,118.91,118.17,118.42,142227
2019-03-25,116.59,117.36,116.13,117.17,140232
2019-03-22,117.77,117.82,116.53,116.9,184521
2019-03-21,116.32,117.17,115.98,117.12,130800
2019-03-20,117.0,117.1,115.68,116.37,144474
2019-03-19,116.64,117.17,116.34,116.43,88080
2019-03-18,115.66,116.3,115.54,116.21,109344
2019-03-15,115.72,115.92,115.48,115.69,155184
